A2A,A2C,A2S,A2N,C2A,C2C,C2S,C2N,S2A,S2C,S2S,S2N,N2A,N2C,N2S,N2N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7,1,0,0,0,2,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0
0,1,0,0,0,6,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0
0,1,0,0,0,6,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
0,4,0,0,0,3,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,6,1,0,0,0,3,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0
0,1,0,0,0,5,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,0
0,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0
0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,0
0,2,0,0,0,3,0,0,0,0,4,0,0,0,0,0
0,1,0,0,0,4,1,0,0,0,4,0,0,0,0,0
0,0,0,0,0,3,2,0,0,0,5,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0
0,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,7,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0
